Organization Id,Name,Country,Founded,Industry,Number of employees
fEFF82d8fB0839D,Hobbs PLC,Dominica,20th century,FOOD / BEVERAGES,9225
9CA6AfAB8330F5a,"Dennis, Johnston and Wilcox",Equatorial Guinea,20th century,LIBRARY,3274
B8bC41a4CECdD52,"Palmer, May and Gibbs",Mexico,21th century,AVIATION / AEROSPACE,8246
8a14ebD20eA8D7A,Watson LLC,Italy,20th century,COMPUTER SOFTWARE / ENGINEERING,8775
cF7A6eb005a6eE2,"Prince, Juarez and Davies",Singapore,20th century,TRANSLATION / LOCALIZATION,1805
7C2c11cce8afcBD,Pittman and Sons,New Zealand,20th century,DESIGN,9817
f66906fa0D04D61,"Price, Carr and Shea",Belize,20th century,MEDICAL PRACTICE,5268
Bce2Fc809eDDe2D,"Molina, French and Larsen",Albania,21th century,NON - PROFIT / VOLUNTEERING,3738
30bB3aeB5bF06bE,"Kramer, Hernandez and Knox",Mongolia,20th century,VETERINARY,9775
7bEab35B5a5e83D,Cherry-Hardin,Monaco,20th century,MEDICAL PRACTICE,7141
FD6bDF2aD1b043D,"Rojas, Aguilar and Bartlett",Finland,20th century,PHILANTHROPY,5443
E5f7F4BfCaBbEa2,Lloyd LLC,New Caledonia,21th century,COSMETICS,5307
251Ec0E7f78cE2a,Bright-Sherman,Norfolk Island,20th century,AUTOMOTIVE,2555
aAb49d92FdCEA08,Drake and Sons,Mauritania,20th century,SPORTING GOODS,1393
92ADaA1BDac50fb,Butler-Roberson,Turkey,21th century,PAPER / FOREST PRODUCTS,8420
633fbeACaB5ED90,Ramirez-Davies,Mongolia,21th century,STAFFING / RECRUITING,2782
d183acdeEa82EA8,Knight Ltd,Latvia,21th century,CIVIL ENGINEERING,7055
e8A1C1b4fd5a7ff,"Fuller, Norris and Yoder",South Georgia and the South Sandwich Islands,21th century,LIBRARY,4878
AAD2CF93cBcd84B,Barber Ltd,Morocco,21th century,FINE ART,6084
09FC9ee9c69E67a,"Lynch, Dudley and Kent",Luxembourg,20th century,FARMING,9847
6fbB49Bb63A6bCf,"Jennings, Ewing and Clay",Trinidad and Tobago,20th century,WRITING / EDITING,7643
8fC38cEceB732cc,"Bennett, Moreno and Knight",Namibia,20th century,PUBLIC SAFETY,7612
ef35a7bFd3b24d4,Bird Inc,Monaco,21th century,ENVIRONMENTAL SERVICES,9088
14c52f76BbD7739,"Daniels, Walls and Mcconnell",Panama,21th century,SUPERMARKETS,9807
9D2320B0FEbA9fC,"Gregory, Benson and West",Cote d'Ivoire,20th century,PACKAGE / FREIGHT DELIVERY,6153
2424C34dCdBc48A,"Ali, Spencer and Morrow",Uzbekistan,20th century,THINK TANKS,8616
220cf0eAe5D0855,"Hardin, Massey and Petty",Tajikistan,20th century,PROGRAM DEVELOPMENT,4375
aD8eEaD22Cc79e7,Moon Group,Tuvalu,20th century,DESIGN,5429
718721Fee9C5B99,Dean LLC,Northern Mariana Islands,21th century,INTERNATIONAL TRADE / DEVELOPMENT,7954
23b4DB4B9beBDDc,Hughes and Sons,Palestinian Territory,20th century,FOOD / BEVERAGES,5985
FAa2566F8dBa760,"Dickerson, Mack and Charles",Czech Republic,20th century,RANCHING,8247
7E1E89Df56408cF,Stuart-Love,Slovenia,20th century,INSURANCE,7338
fADb0aF1ace9af4,"Moyer, Melton and Fletcher",Reunion,20th century,PUBLISHING INDUSTRY,5605
5b0EE07BA206Ad5,"Russo, Montes and Nixon",Indonesia,20th century,COMPUTER NETWORKING,3739
ACC30cfb0daE63F,Yoder-Morgan,Estonia,20th century,INFORMATION SERVICES,5913
29a4DcA7037AFAD,"Pope, Nelson and Massey",Lithuania,20th century,LIBRARY,9411
6A62d6aFddEd186,"Lynch, Pugh and Cochran",Australia,20th century,COMPUTER HARDWARE,7236
395d7afdB3BcAA2,"Moreno, Shaffer and Porter",El Salvador,20th century,INDUSTRIAL AUTOMATION,8363
A15dd06FDDbc2C5,Gilbert PLC,Bermuda,20th century,WRITING / EDITING,4222
C6f720D8962DB61,"Burton, Ortiz and Khan",Afghanistan,21th century,WINE / SPIRITS,4180
CECEbD757Aec4e0,Conrad-Carrillo,Netherlands,21th century,AVIATION / AEROSPACE,4149
0114FD13bbEEFAA,Reyes-Burke,Uganda,20th century,INSURANCE,8738
67700C20C67a718,Gillespie Ltd,Mali,21th century,LEGAL SERVICES,2569
A2dce5b8c4dE1ab,Phillips Ltd,Luxembourg,21th century,SECURITY / INVESTIGATIONS,7348
4feCEe21E6b5325,Elliott PLC,Macedonia,21th century,CONSUMER ELECTRONICS,8821
F3baEc64B4ac7C0,"Cook, Knight and Hicks",Malaysia,21th century,THINK TANKS,9667
3f55e4D0f38ac86,Gilmore-Diaz,Korea,20th century,SHIPBUILDING,7768
8A6BF31d0F6Eef4,"Bartlett, Burnett and Knox",Cuba,20th century,COSMETICS,8258
F3a389ddEE398Ea,"Case, Herrera and Gill",Canada,20th century,COMPUTER / NETWORK SECURITY,1930
E147d69f0Debc46,Freeman PLC,Sudan,20th century,GRAPHIC DESIGN / WEB DESIGN,6623
E1Cfb98bF3Ddbe8,Lutz-Lowe,Morocco,21th century,EXECUTIVE OFFICE,9263
ca8F06Cc4ABE00b,Oliver-Ingram,Uzbekistan,21th century,RAILROAD MANUFACTURE,1757
8bDf22Dba6CD080,"Wells, Becker and Carrillo",Jamaica,20th century,ALTERNATIVE MEDICINE,2285
CcF7775Dab9a2BE,Matthews-Hendricks,Netherlands,20th century,PRIMARY / SECONDARY EDUCATION,6326
4c39Dd5f85D6d1C,Buck and Sons,Jersey,21th century,ARTS / CRAFTS,2659
c93de0fe66EDA96,"Chapman, Griffith and Moses",Haiti,20th century,PRINTING,6833
A07FD6daAcb7E4A,Galloway LLC,Guinea-Bissau,20th century,INTERNET,6979
b99a47088dbDECb,Jacobs Ltd,Chile,20th century,INFORMATION SERVICES,9922
2A95ffd0dDA8F77,Ware-Dillon,San Marino,20th century,TRANSPORTATION,2129
E655c8CdF0c0Ba2,"Wilson, Cross and Ochoa",Guernsey,20th century,PHILANTHROPY,4321
95BbDccEF2d9DBD,"Eaton, Sloan and Massey",Pitcairn Islands,21th century,ENVIRONMENTAL SERVICES,5764
CaFaaCabCaab6F4,Villegas-Martin,Latvia,21th century,LAW PRACTICE / LAW FIRMS,8844
F45Ca9F716f71Dc,"Jones, Decker and Roberts",British Virgin Islands,20th century,RAILROAD MANUFACTURE,3554
dfB2f3a1b6157c1,Davila-Singh,Papua New Guinea,20th century,E - LEARNING,2367
7966C655e44E4f8,Robles PLC,Spain,21th century,SUPERMARKETS,5146
4e709EbDc43C39C,Holmes and Sons,Norfolk Island,20th century,WIRELESS,6566
cCf74Cb877efaD4,Combs-Stafford,Zambia,21th century,CONSUMER GOODS,3620
Ce5Cfb3Bf06AA7a,Rangel Inc,Germany,20th century,GOVERNMENT ADMINISTRATION,3469
01c18a8e6B537E2,"Li, Sims and Ramsey",Burkina Faso,21th century,NANOTECHNOLOGY,8019
AA91B21A20e9abD,"Mcguire, Smith and Noble",Timor-Leste,20th century,MUSEUMS / INSTITUTIONS,6692
6A51259ddF1fE9D,Cooper Inc,South Africa,20th century,SHIPBUILDING,5517
6d6505Fb1f4f2df,"Alvarado, Zavala and Kelley",Aruba,20th century,FOOD / BEVERAGES,9626
3b15541DE26aFa3,"Curtis, Hayden and Leonard",Greece,21th century,PUBLIC SAFETY,2271
CF4f7D6C05E96D0,Duke-Tyler,Tonga,21th century,FOOD / BEVERAGES,1474
E9fCae5Af0D5BA1,"Jackson, Short and Swanson",Nicaragua,20th century,WHOLESALE,6452
77952AAa8472BBf,"Joseph, Bond and Walton",Djibouti,20th century,PAPER / FOREST PRODUCTS,2999
9Ada6DF5B2c47ba,Mcneil PLC,Zimbabwe,20th century,ELECTRICAL / ELECTRONIC MANUFACTURING,8192
3FdFE1982be12FE,"Phelps, Lutz and Shaffer",Wallis and Futuna,21th century,ACCOUNTING,2331
F7032D7F88dC63e,"Glover, Cooke and Watson",Brazil,20th century,WRITING / EDITING,9640
dAACAedb35d0FB2,"Travis, Novak and Greer",Nicaragua,20th century,UTILITIES,2558
Afcd9aeFF8B8F0E,Bush Ltd,Burkina Faso,21th century,SUPERMARKETS,5874
bED43Fe3b368DdE,"Craig, Kelley and Bonilla",Libyan Arab Jamahiriya,20th century,WINE / SPIRITS,1018
fa8F72Ea6f6Ddde,Villegas-Jacobson,Tokelau,21th century,WINE / SPIRITS,8065
4eDAe06dE723d7C,"Singleton, Fox and Baird",Saint Pierre and Miquelon,21th century,CONSTRUCTION,9452
bA9cE25443a8e3E,"Hopkins, Friedman and House",Faroe Islands,20th century,INTERNET,7558
12EC4b2B3BEC41A,Mcdowell LLC,Benin,20th century,CHEMICALS,1485
6aDBC0a733fAe7A,Hoffman LLC,Myanmar,21th century,CIVIL ENGINEERING,8085
87c460BA4b5C99d,Patrick Inc,Saint Lucia,20th century,EDUCATION MANAGEMENT,5089
bB31CC90C4a2F42,Mahoney-Frank,Puerto Rico,20th century,JUDICIARY,7548
C0c10eCE092776A,"Novak, Klein and Todd",Finland,21th century,TRANSLATION / LOCALIZATION,8613
1feD729cDCc1FA0,May Ltd,Chile,21th century,COMPUTER / NETWORK SECURITY,1228
D937BE9aF6748EB,"Avery, Camacho and Holder",Greenland,21th century,MILITARY INDUSTRY,9958
2AAdbFfE07B75D3,"Weiss, Hughes and Randolph",Morocco,20th century,STAFFING / RECRUITING,1132
dEFa224CEfFce9c,Bryant Group,Heard Island and McDonald Islands,20th century,MEDIA,2946
a0BF848da06CbCA,Mccoy and Sons,Marshall Islands,20th century,INVESTMENT BANKING / VENTURE,6208
f04F8a766696cA3,"Stone, Bowen and Howe",Tuvalu,20th century,TRANSLATION / LOCALIZATION,7188
eAbC2c176Ef793e,Olson LLC,Jamaica,20th century,SECURITY / INVESTIGATIONS,3391
574C4941EB46aED,Pugh and Sons,Rwanda,20th century,RANCHING,2281
FC5Dd8F35B74384,"Molina, Golden and Bennett",Guatemala,20th century,VETERINARY,5999
e5ccc4ac7e4AefA,"Mcneil, Whitehead and Hale",Egypt,21th century,LAW ENFORCEMENT,3100
dfA74424E7574ED,"Meyer, Allison and Boyer",Albania,21th century,FOOD / BEVERAGES,3404
81fF0d043d3EA72,Bradley and Sons,Jamaica,20th century,GOVERNMENT RELATIONS,7903
0A3d96BED1F3AFB,Steele and Sons,Slovenia,20th century,CONSUMER ELECTRONICS,4533
BdBDc5dB6CdC3E4,Jackson PLC,Mexico,21th century,FOOD PRODUCTION,3531
6cf4E8984dFffd5,Prince Inc,Switzerland,20th century,POLITICAL ORGANIZATION,1351
9cbbe3bFd7fE183,"Kidd, Mayo and Harrell",Slovenia,20th century,FINE ART,1042
B0076EaA50B0c2f,Shepard PLC,Iran,21th century,AUTOMOTIVE,1250
DcBF8741Bcd56Cf,Francis PLC,Maldives,20th century,PROFESSIONAL TRAINING,4411
c2aC4BEd52E53ad,"Sheppard, Mclaughlin and Daugherty",Saint Pierre and Miquelon,21th century,INFORMATION SERVICES,6308
121C65BBba5C3e5,"Noble, Barry and Mueller",United States Minor Outlying Islands,20th century,BUSINESS SUPPLIES / EQUIPMENT,8641
debFdBcdA8DCD55,Hodge PLC,Ethiopia,21th century,GLASS / CERAMICS / CONCRETE,9974
4f8eb0b1eFFEc58,Clark-Page,Tuvalu,21th century,AIRLINES / AVIATION,8399
A7Ad463BbA9ceD3,Rojas-Livingston,Antigua and Barbuda,20th century,EVENTS SERVICES,9656
d627dD65DeFCbCf,Shaw and Sons,Guyana,20th century,MENTAL HEALTH CARE,8686
bda52d6bfb6F825,Grimes-Garza,Antigua and Barbuda,21th century,COSMETICS,8862
bdcecC29debfda8,"Roach, Rojas and Zhang",Netherlands Antilles,21th century,ENVIRONMENTAL SERVICES,4602
B99DEfe5EA8B2cC,"Sheppard, Ball and Luna",Antarctica (the territory South of 60 deg S),21th century,CONSUMER GOODS,2075
DcF2EAC5b23524c,"Dean, Walton and Robinson",Iran,20th century,RECREATIONAL FACILITIES / SERVICES,6194
9ABA9B48a72dEcF,Soto-Lynch,Cuba,20th century,INFORMATION TECHNOLOGY / IT,4560
eF68d99e0a3E0d3,Rodgers-Jarvis,Somalia,21th century,DEFENSE / SPACE,2198
899C8B478D35132,Valencia-Salazar,Burundi,20th century,BUILDING MATERIALS,2644
442E5e1BAe8F9ad,"Holt, Beck and Donaldson",Taiwan,20th century,WINE / SPIRITS,4928
7CCF767FD1C7b13,Duran Inc,Canada,20th century,COMPUTER HARDWARE,4145
C2AbFCcDF18fCb2,Santana-Porter,Chad,21th century,ENTERTAINMENT / MOVIE PRODUCTION,2250
8c48B9FFacF8EDD,Simmons and Sons,Timor-Leste,20th century,PAPER / FOREST PRODUCTS,8757
A6C783Cc6a7Cb8e,"Buckley, Beltran and Clements",Estonia,20th century,CIVIC / SOCIAL ORGANIZATION,2103
3F8cdb8c43bbfa5,"Hogan, Shaffer and Simon",Kuwait,21th century,COMPUTER HARDWARE,2972
BcEB3F45DdA460D,"Gross, Ellis and Cobb",Algeria,21th century,INFORMATION TECHNOLOGY / IT,8779
cfDa55ED0F4c233,"May, Tanner and Collier",Palestinian Territory,20th century,DEFENSE / SPACE,2418
c010BFAE74baeb5,"Cooke, Hines and Ward",Jersey,20th century,HOSPITALITY,1575
21c144f2bFcf1a6,Maldonado-Tucker,Maldives,21th century,APPAREL / FASHION,9361
9A7CaC4eeB6AC14,Gill-Juarez,Georgia,21th century,MANAGEMENT CONSULTING,5200
bFfCaf62C4Cf2ce,"Cameron, Orozco and Levine",Namibia,20th century,LEISURE / TRAVEL,5288
aEce8dAABb2d26C,Hutchinson-Dalton,Korea,21th century,PACKAGE / FREIGHT DELIVERY,2941
b1e6bAe568e71A1,Duran-Casey,Malaysia,21th century,RANCHING,3624
bB90AEFFdB31EfF,"Perez, Richardson and Snow",Tanzania,21th century,CIVIL ENGINEERING,3545
295C1cd64A3ffaE,Henry PLC,United Kingdom,20th century,PLASTICS,8507
c2BBcB1FcBa49Be,Jennings Inc,Korea,21th century,APPAREL / FASHION,6536
7cD81aBf93dABa3,Leon LLC,Papua New Guinea,21th century,EDUCATION MANAGEMENT,5991
532B166E93d3e75,Ballard and Sons,Sao Tome and Principe,21th century,MUSIC,8896
e25a2Cccaa280fF,"Hayden, Hanson and Gay",Cote d'Ivoire,21th century,DAIRY,7044
4DbEe0BCEcd767f,Mcconnell and Sons,French Guiana,20th century,WAREHOUSING,6903
571beFD5E9FDDdf,Greene-Bolton,Guatemala,20th century,LOGISTICS / PROCUREMENT,3432
a10Fb17A5E4DaE8,Webster and Sons,Gibraltar,21th century,LAW ENFORCEMENT,7895
0EffC7FedCBdC24,Curry-Buchanan,Nauru,21th century,MOTION PICTURES / FILM,6461
82D4a85407AAAAd,"Richards, Waller and Atkins",Paraguay,20th century,PRIMARY / SECONDARY EDUCATION,8715
b63dBB7e9AF0ef2,Saunders-Fields,Taiwan,21th century,MOTION PICTURES / FILM,1053
940001b43fb4Fb2,Taylor Inc,Mongolia,21th century,EDUCATION MANAGEMENT,3448
883607fF6BcFA9a,"Zavala, Mcknight and Livingston",Pakistan,20th century,SPORTS,6016
C2DB784bA3B8E8e,Gould-Burnett,Morocco,21th century,MARKETING / ADVERTISING / SALES,6067
0DdC29DdE6C3deC,"Shields, Nash and Werner",Bermuda,20th century,OUTSOURCING / OFFSHORING,2391
a7716a6b46A10Ef,"Krueger, Kline and Novak",Bahamas,21th century,ARTS / CRAFTS,1742
eeEBc4bA2a9f623,Gonzalez PLC,Cape Verde,20th century,HOSPITALITY,9086
61dA0FcC8baB8cc,Wang-Estrada,Vanuatu,20th century,PROGRAM DEVELOPMENT,1391
1F28C3fB7a9c10d,"Russell, Mcintosh and Noble",Qatar,21th century,AUTOMOTIVE,6185
9799a2457bFAEA2,Willis LLC,Grenada,21th century,PACKAGE / FREIGHT DELIVERY,7047
cA2bB6cbc65381A,"Nolan, Chung and Sawyer",Sao Tome and Principe,20th century,UTILITIES,7931
0a925C22aAa25dc,Vasquez-Pratt,Bahamas,21th century,PROFESSIONAL TRAINING,5511
e409B31188ADC3F,"Gallagher, Reynolds and Hutchinson",Peru,20th century,ENVIRONMENTAL SERVICES,2403
cfeFc1e210BCFc5,Randolph-Atkins,Bahamas,20th century,FACILITIES SERVICES,1542
EEFd8eE6c4c703f,Finley-Keith,Dominican Republic,20th century,ELECTRICAL / ELECTRONIC MANUFACTURING,9396
DEB4Cee6bb3317d,Meza Inc,Bolivia,20th century,LUXURY GOODS / JEWELRY,1323
E0BCeB6a745df6a,Montoya-Page,Brunei Darussalam,21th century,SEMICONDUCTORS,7937
F6EE7DBd66f8D9c,Little Ltd,Guinea,21th century,TRANSPORTATION,1189
bF6fCb524987e8f,"Combs, Cook and Espinoza",Greenland,21th century,INDUSTRIAL AUTOMATION,6421
AFff93f3CFC2B3c,"Landry, Levine and Houston",Burkina Faso,20th century,ONLINE PUBLISHING,7253
c03EC90Bccc893a,Marsh-Conner,Malawi,21th century,DAIRY,1885
3dEcde0Eb9BD1D0,"Porter, Tate and Santos",Canada,21th century,LAW PRACTICE / LAW FIRMS,8784
BD49722Be1268B7,Hess Group,United Arab Emirates,20th century,CONSUMER GOODS,7810
07AAD636945eDEd,Barnes-Blackwell,Saint Kitts and Nevis,20th century,INVESTMENT BANKING / VENTURE,5109
aB1ED8Fa46a3491,Larsen-Hinton,Hong Kong,20th century,THINK TANKS,9422
eF0015F8caAA9F7,Collins Group,Fiji,21th century,HEALTH / FITNESS,8885
1E27eC7C57417f2,"Craig, Vazquez and Hampton",Puerto Rico,20th century,PUBLISHING INDUSTRY,9109
2e16FFDB15AEDba,Mueller-Whitehead,Greenland,21th century,GOVERNMENT ADMINISTRATION,4405
ed4E2Ecf1d7eDb7,Howe-Harmon,Congo,20th century,HOSPITALITY,2603
6Ec62fcfeBd3999,Clay-Valencia,Norfolk Island,21th century,FINANCIAL SERVICES,7529
aa6f1718feEC9d6,House and Sons,El Salvador,21th century,AUTOMOTIVE,7928
BeaB303F2C8D79a,Maxwell-Williams,Georgia,21th century,DESIGN,5165
3dcBaB38cBea0E6,Liu Inc,Jamaica,21th century,PUBLIC RELATIONS / PR,3821
9Ad1149F4569Cc8,"Faulkner, Nash and Christensen",Mauritius,20th century,RESEARCH INDUSTRY,8540
ff0cfdE84Aa7004,Ballard-Fields,Israel,20th century,GLASS / CERAMICS / CONCRETE,5050
0f807f4A9C7ABCA,"Bullock, Hanson and Travis",Seychelles,20th century,ARTS / CRAFTS,4434
1DD98BeaD35a88B,Cardenas-Mcgee,Malawi,21th century,FARMING,9885
ECeAA1b5Ca98cAa,Goodwin-Espinoza,Indonesia,21th century,CHEMICALS,3684
c42DBAE2d57AACD,Parks-Shaw,Anguilla,21th century,COMPUTER HARDWARE,2202
8E9BEdd9b0aafeb,Montoya-Shepherd,Ukraine,21th century,LOGISTICS / PROCUREMENT,8339
CCa70a25CAdD519,Morales PLC,Morocco,20th century,COMPUTER SOFTWARE / ENGINEERING,4475
bE6f6fDcCe342Bc,Jordan-French,Bouvet Island (Bouvetoya),21th century,DESIGN,8726
d0d5754AFB5A1f7,"Pace, Mathis and Clark",Panama,21th century,CAPITAL MARKETS / HEDGE FUND / PRIVATE EQUITY,7516
EFb75CCaba83C81,Harvey-Freeman,Nigeria,20th century,COMPUTER GAMES,6276
d6698b9f2beB1Cf,"Richardson, Petty and Cuevas",Tanzania,20th century,INFORMATION SERVICES,8203
6Fa9Ae256Cfa370,Washington-Ferguson,Suriname,20th century,OIL / ENERGY / SOLAR / GREENTECH,8151
cF2584cBeACa4E7,"Mays, Parker and Graham",Jersey,21th century,LOGISTICS / PROCUREMENT,8350
08a9Af0E2ddBcf9,Austin Group,Djibouti,21th century,FINANCIAL SERVICES,6628
d18DcBFd6A52Eb6,Cowan PLC,Niger,20th century,REAL ESTATE / MORTGAGE,4543
4AdFEC7947E30CC,Suarez-Fletcher,Netherlands Antilles,21th century,WIRELESS,3187
fB32d2F5f8cde88,Morrison Inc,Kenya,20th century,SPORTING GOODS,3770
3BcfFDBbccb1615,"Peck, Hayden and Ball",Guam,20th century,RESTAURANTS,8156
aeD6dEA3907fBb8,"Klein, Haley and Irwin",Russian Federation,21th century,ENVIRONMENTAL SERVICES,2188
fD5AeFaFbDFBCb6,"Hawkins, Francis and Wyatt",Saint Vincent and the Grenadines,21th century,MEDICAL EQUIPMENT,6215
0fAcFa16A6ED11e,Good LLC,China,20th century,FARMING,8007
6881AB3D593a6F9,Cameron PLC,Thailand,20th century,NANOTECHNOLOGY,7991
cAAAc80Cb87B1fa,"Mcdaniel, Pena and Murray",Albania,20th century,FUNDRAISING,7107
C9Df609faD362EA,"Novak, Fleming and Cordova",Ukraine,20th century,PLASTICS,2889
96C0Bd5be4A6d6b,"Lane, Peterson and Anderson",Vietnam,20th century,BUILDING MATERIALS,4983
f6afA8BCe35197c,West LLC,Tunisia,20th century,ACCOUNTING,3788
17DbcCe7f9E54Fe,"Zuniga, Lozano and Massey",Nepal,21th century,MINING / METALS,9900
0eeFfECfd209af0,"Torres, Arnold and Frederick",Bahrain,20th century,FINE ART,7500
Be791DCFc163670,Mosley and Sons,Namibia,21th century,UTILITIES,3223
8dEF834C802ee42,"Tanner, Campbell and Ochoa",Guinea-Bissau,21th century,E - LEARNING,1149
8CCA384e2abAddD,Weiss-Mclean,Madagascar,21th century,DEFENSE / SPACE,6176
cac71Bdfb97B00B,Arias-Morgan,Romania,20th century,INDUSTRIAL AUTOMATION,3411
aFA6AE4aeEbb8db,"Abbott, Berg and Gay",Pakistan,20th century,SHIPBUILDING,5716
18e1AbcbaDD3aE8,Wright and Sons,Zambia,20th century,PHOTOGRAPHY,4092
Cae28Fc6aa9FA7F,"Bryan, Hartman and Avila",Portugal,20th century,LOGISTICS / PROCUREMENT,6288
EEA70578829eDBD,"Mora, Mcknight and Mckenzie",Taiwan,20th century,ONLINE PUBLISHING,2478
bBAD8af87A9Bb7d,Davis PLC,Saint Kitts and Nevis,21th century,RETAIL INDUSTRY,7059
7EbcE741F9cD1AF,Farley-Serrano,Ghana,21th century,STAFFING / RECRUITING,2847
4dbDd0bFdbbFEC8,"Potter, Hoover and Horton",Uzbekistan,20th century,GAMBLING / CASINOS,2560
39c67c2BBc882bf,Hall-Watson,Saint Helena,20th century,GRAPHIC DESIGN / WEB DESIGN,8036
b083CA7DB879aDF,"Douglas, Watkins and Kaufman",El Salvador,21th century,TRANSPORTATION,3345
F52BCDE16B5CA4d,Maldonado-Hull,Saint Barthelemy,20th century,WIRELESS,1932
B2fC0aCebDAaAec,Hanson PLC,Jordan,21th century,FARMING,5509
5dCF6D53B82E4cA,"Hebert, Newton and Jensen",Nicaragua,20th century,FISHERY,6231
e2EDe220b59A435,Mcgee LLC,Morocco,21th century,INFORMATION SERVICES,3781
FFC11c90c6aD910,"Hall, Henderson and Page",Rwanda,21th century,CONSUMER SERVICES,4067
1fF4943bfEdbED7,"Gross, Dixon and Mcgrath",Saint Pierre and Miquelon,20th century,MEDICAL EQUIPMENT,3915
44dDA7bD72F34FB,"Herring, Love and Noble",Antarctica (the territory South of 60 deg S),20th century,PERFORMING ARTS,9910
5e4bbbceafEBABd,Hayden-Hodge,Russian Federation,21th century,ONLINE PUBLISHING,5513
56b7A355f4ff730,Hart Group,Holy See (Vatican City State),20th century,FOOD / BEVERAGES,6349
8FB93efb6B2b5c2,Hess Group,Jamaica,21th century,COSMETICS,3579
7f822A250EDCBE0,"Robinson, Rodgers and Beltran",Morocco,21th century,FURNITURE,6473
941E0c20DEb151E,Strong-Chapman,Timor-Leste,21th century,TRANSLATION / LOCALIZATION,4546
0aFBAc8292DFa9a,Mcguire Ltd,United Kingdom,20th century,VETERINARY,4489
da1804BDD65F7eE,Waters-Bowers,South Georgia and the South Sandwich Islands,20th century,COMMERCIAL REAL ESTATE,4280
Bb49f3049ba0dFD,Levy Ltd,India,20th century,PERFORMING ARTS,7190
EFb5401Efa0e1C0,"Hickman, Bishop and Matthews",Dominica,21th century,LOGISTICS / PROCUREMENT,8461
7BAC9f4c4d7b4f9,Valenzuela Inc,Belize,20th century,GLASS / CERAMICS / CONCRETE,5707
88BdCcC23DDB40a,"Schwartz, Benton and Moreno",Senegal,20th century,IMPORT / EXPORT,1236
a2761FA055baD8f,Bray-Barrera,Mozambique,20th century,CONSUMER ELECTRONICS,9940
A5F59029DaDBfEb,Conway-Mckee,Micronesia,21th century,SPORTS,9256
CCDe1eE2ce9fE6A,Fritz-Wilkinson,United States of America,20th century,PUBLISHING INDUSTRY,3973
23A7c68cbfceF6d,Walters PLC,Korea,20th century,MENTAL HEALTH CARE,3280
0fbEEDAAd90DfeE,Whitney LLC,Kazakhstan,20th century,HIGHER EDUCATION / ACADAMIA,5162
6006B42A2CB22aE,Fox Inc,Algeria,20th century,COMPUTER HARDWARE,3304
e82D6E5C618FFAc,"Mullen, Gentry and Spence",Zambia,21th century,PAPER / FOREST PRODUCTS,6562
0F8f42c91a2D2B6,Floyd-Mercado,Falkland Islands (Malvinas),20th century,WAREHOUSING,3791
b76b4ebD7fB2f4e,Conrad-Medina,British Virgin Islands,20th century,COMPUTER GAMES,4996
d7fDE8FDFbF6A8A,"Pope, Patrick and Baker",Libyan Arab Jamahiriya,20th century,TRANSPORTATION,2999
D35dca02f6e1cE0,Munoz-Ballard,Morocco,20th century,ALTERNATIVE MEDICINE,2454
d6a806336dF16Fc,Monroe-King,Mayotte,20th century,PHARMACEUTICALS,5405
Fbf6f31B4D060CD,Schneider Group,Heard Island and McDonald Islands,21th century,INVESTMENT MANAGEMENT / HEDGE FUND / PRIVATE EQUITY,8659
AEeE70a0110de0a,"Carpenter, Reid and Gould",Botswana,21th century,PAPER / FOREST PRODUCTS,4543
c6C5bbdDa294d6B,Ford-Santiago,Greece,20th century,BUILDING MATERIALS,9739
a77A58cB61FdD97,"Torres, Velazquez and Berger",Cameroon,20th century,CONSTRUCTION,7321
6C0b97eB4Cd36D1,Bauer and Sons,Algeria,20th century,DESIGN,4374
4eab670d6b1c1A0,"Maynard, Gonzalez and Mejia",Tunisia,20th century,PUBLIC RELATIONS / PR,9296
Ceb5e8c8ee9Edf7,Edwards PLC,Saint Pierre and Miquelon,21th century,ARTS / CRAFTS,8337
7FeAE48aEbb04AA,Arroyo-Green,Bulgaria,21th century,HIGHER EDUCATION / ACADAMIA,1474
d2Dbac9Cea3bD60,Case Ltd,Montenegro,21th century,MARKETING / ADVERTISING / SALES,4942
8AEC4d14Bf780ee,"Jefferson, Floyd and Beasley",Argentina,21th century,GLASS / CERAMICS / CONCRETE,5953
db4118390FdddEa,"Potts, Horton and Cabrera",Kiribati,20th century,SECURITY / INVESTIGATIONS,4978
111f7CCf3e2B80e,Walton-Leonard,Cambodia,21th century,SECURITY / INVESTIGATIONS,2379
cf8F09f676589DC,"Mclean, Collins and Riddle",Trinidad and Tobago,20th century,SECURITY / INVESTIGATIONS,1047
5A1DA3EEB3b773D,Wilkerson-Gregory,Holy See (Vatican City State),21th century,INDUSTRIAL AUTOMATION,3164
e4BA95DE96d3Cc6,"Moon, Villanueva and Huynh",Vietnam,20th century,MECHANICAL OR INDUSTRIAL ENGINEERING,3269
ec3Ba0cf3Ec2509,Chandler-Marshall,Uganda,21th century,CONSUMER SERVICES,8592
1d7e7df4a4D0eee,Riley Inc,Canada,20th century,AUTOMOTIVE,7295
a13B55A75723Ddc,"Fuentes, Flynn and Steele",Jamaica,21th century,MACHINERY,3880
eCe7257DFdf962b,Abbott Ltd,Sudan,20th century,ARCHITECTURE / PLANNING,4787
aCe3cd85D3C6DB5,"Roman, Trujillo and Williams",Sri Lanka,21th century,CHEMICALS,3868
Efff8cff5AdE238,Bradshaw-Rocha,Slovenia,20th century,INFORMATION TECHNOLOGY / IT,4568
